"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"Hong Kong Phooey"	1217	"hong-kong-phooey"	1921
"Hostages"	1226	"hostages"	1926
"Hot Rod"	1229	"hot-rod"	1930
"Hotshot"	1230	"hotshot"	103
"Hudson Hawk"	1237	"hudson-hawk"	1941
"HKM: Human Killing Machine"	1239	"human-killing-machine"	1943
"Hunt for Red October, The"	1248	"hunt-for-red-october-shoot-em-up"	1944
"Hydra"	1255	"hydra"	1949
"IK+"	1271	"ik-plus"	1960
"Ikari Warriors"	1273	"ikari-warriors"	25
"Impact!"	1280	"impact"	1962
"Impossamole"	1282	"impossamole"	435
"Impossible Mission 2"	1284	"impossible-mission-2"	1965
"In 80 Days Around the World"	1285	"in-80-days-around-the-world"	3961
"ISS: Incredible Shrinking Sphere"	1286	"incredible-shrinking-sphere"	1956
"Indiana Jones and the Fate of Atlantis"	1288	"indiana-jones-and-the-fate-of-atlantis"	1967
"Indiana Jones and the Last Crusade"	1289	"indiana-jones-and-the-last-crusade"	26
"Indiana Jones and the Temple of Doom"	1291	"indiana-jones-and-the-temple-of-doom"	128
"Indoor Sports"	1292	"indoor-sports"	1970
"Indy Heat"	1294	"indy-heat"	1972
"Infidel"	1296	"infidel"	3458
"Ingrid's Back!"	1299	"ingrids-back"	4304
"Insects in Space"	1303	"insects-in-space"	1977
"Inside Outing"	1304	"inside-outing"	276
"International 3D Tennis"	1311	"international-3d-tennis"	1153
"International Ice Hockey"	1314	"international-ice-hockey"	1980
"International Karate"	1315	"international-karate"	1981
"International Ninja Rabbits"	1317	"international-ninja-rabbits"	3509
"International Truck Racing"	1322	"international-truck-racing"	1985
"Into the Eagle's Nest"	1324	"into-the-eagles-nest"	39
"Inve$t"	1328	"invest"	3655
"I Play: 3D Soccer"	1330	"i-play-3d-soccer"	2415
"Iron Lord"	1335	"iron-lord"	462
"Ivan 'Ironman' Stewart's Super Off Road"	1336	"ironman-super-off-road"	507
"Italy 1990"	1339	"italy-1990"	421
"Jack Nicklaus Greatest 18 Holes of Major Championship Golf"	1345	"jack-nicklaus-golf"	2005
"Jahangir Khan Squash"	1351	"jahangir-khan-squash"	2006
"James Pond 2: Codename RoboCod"	1354	"james-pond-2"	2008
"Jetsons, The"	1368	"jetsons"	3677
"Jewels of Darkness"	1369	"jewels-of-darkness"	5555
"Jinks"	1372	"jinks"	2015
"Jinxter"	1374	"jinxter"	2016
"Jocky Wilson's Darts Challenge"	1375	"jocky-wilsons-darts-challenge"	2019
"Joe Blade"	1377	"joe-blade"	45
"Joe Blade II"	1378	"joe-blade-2"	210
"John Lowe's Ultimate Darts"	1380	"john-lowes-ultimate-darts"	3094
"Journey to the Center of the Earth"	1387	"journey-to-the-center-of-the-earth"	2024
"Jouste"	1388	"jouste"	5502
"Judge Dredd"	1391	"judge-dredd-virgin-mastertronic"	2026
"Jump Jet"	1392	"jump-jet"	2028
"Kamikaze"	1405	"kamikaze"	2038
"Karateka"	1413	"karateka"	2040
"Kayden Garth"	1417	"kayden-garth"	2042
"Kennedy Approach"	1420	"kennedy-approach"	2044
"Kenny Dalglish Soccer"	1421	"kenny-dalglish-soccer"	382
"Kenny Dalglish Soccer Manager"	1422	"kenny-dalglish-soccer-manager"	315
"Kick Off"	1431	"kick-off-anco"	2047
"Killing Machine"	1438	"killing-machine"	2057
"KLAX"	1444	"klax"	444
"Knight Orc"	1448	"knight-orc"	3408
"Knightmare"	1450	"knightmare-activision"	42
"Lancelot"	1474	"lancelot"	3304
"Laser Squad"	1479	"laser-squad"	2077
"Last Duel"	1484	"last-duel"	2079
"Last Ninja, The"	1488	"last-ninja"	3984
"Last Ninja 2: Back with a Vengeance"	1489	"last-ninja-2"	548
